[2026-03-27 15:00:58,026] [runserver.py:154] [runserver:log_action] [ERROR]- HTTP GET /static/vendor/jquery-easing/jquery.easing.min.js 500 [0.50, 127.0.0.1:51956]
[2026-03-27 15:01:01,107] [runserver.py:154] [runserver:log_action] [ERROR]- HTTP GET /static/node_modules/bootstrap-icons/font/bootstrap-icons.css 500 [0.04, 127.0.0.1:59308]
[2026-03-27 15:01:02,120] [runserver.py:154] [runserver:log_action] [ERROR]- HTTP GET /static/js/lib/bootstrap.min.js 500 [0.63, 127.0.0.1:57608]
[2026-03-27 15:01:02,258] [runserver.py:154] [runserver:log_action] [ERROR]- HTTP GET /static/js/scripts.js 500 [0.62, 127.0.0.1:49367]
[2026-03-27 15:01:02,292] [runserver.py:154] [runserver:log_action] [ERROR]- HTTP GET /static/css/admin/assets/fonts/themify.ttf?-fvbane 500 [0.39, 127.0.0.1:59308]
[2026-03-27 15:01:04,030] [runserver.py:154] [runserver:log_action] [ERROR]- HTTP GET /static/js/es6/polyfill.min.js 500 [1.63, 127.0.0.1:54375]
[2026-03-27 15:01:04,103] [runserver.py:154] [runserver:log_action] [ERROR]- HTTP GET /static/js/es6/babel.min.js 500 [1.66, 127.0.0.1:51956]
[2026-03-27 15:01:04,108] [runserver.py:154] [runserver:log_action] [ERROR]- HTTP GET /static/js/Element/main.js 500 [1.32, 127.0.0.1:59308]
[2026-03-27 15:01:31,560] [runserver.py:154] [runserver:log_action] [ERROR]- HTTP GET /static/admin/simpleui-x/img/bg.svg 500 [0.29, 127.0.0.1:51956]
[2026-03-27 15:12:07,865] [runserver.py:154] [runserver:log_action] [ERROR]- HTTP GET /static/admin/js/vendor/jquery/jquery.js 500 [0.13, 127.0.0.1:61165]
[2026-03-27 15:12:28,070] [runserver.py:154] [runserver:log_action] [ERROR]- HTTP GET /static/download_UPK/element-ui@2.12.0/lib/theme-chalk/fonts/element-icons.woff 500 [0.68, 127.0.0.1:53271]
