[2024-07-06 13:43:07,104] [UserIP.py:90] [UserIP:process_response] [INFO]- 2024-07-06 13:43:07 C1010S3>Edwin None>None>None 127.0.0.1 127.0.0.1 /PersonalInfo/Summary1/ POST
[2024-07-06 13:43:11,082] [UserIP.py:90] [UserIP:process_response] [INFO]- 2024-07-06 13:43:11 C1010S3>Edwin None>None>None 127.0.0.1 127.0.0.1 /PersonalInfo/Summary1/ POST
[2024-07-06 13:50:03,244] [UserIP.py:90] [UserIP:process_response] [INFO]- 2024-07-06 13:50:03 C1010S3>Edwin None>None>None 127.0.0.1 127.0.0.1 /PersonalInfo/Summary2/ POST
[2024-07-06 13:50:13,334] [UserIP.py:90] [UserIP:process_response] [INFO]- 2024-07-06 13:50:13 C1010S3>Edwin None>None>None 127.0.0.1 127.0.0.1 /PersonalInfo/Summary2/ POST
[2024-07-06 13:51:59,961] [UserIP.py:90] [UserIP:process_response] [INFO]- 2024-07-06 13:51:59 C1010S3>Edwin None>None>None 127.0.0.1 127.0.0.1 /PersonalInfo/Summary2/ POST
[2024-07-06 13:52:10,853] [UserIP.py:90] [UserIP:process_response] [INFO]- 2024-07-06 13:52:10 C1010S3>Edwin None>None>None 127.0.0.1 127.0.0.1 /PersonalInfo/Summary2/ POST
[2024-07-08 09:14:44,224] [UserIP.py:90] [UserIP:process_response] [INFO]- 2024-07-08 09:14:44 None>None None>None>None 127.0.0.1 127.0.0.1 /PersonalInfo/Summary2/ POST
[2024-07-08 09:14:46,486] [UserIP.py:90] [UserIP:process_response] [INFO]- 2024-07-08 09:14:46 None>None None>None>None 127.0.0.1 127.0.0.1 /PersonalInfo/Summary2/ POST
[2024-07-08 09:14:48,343] [UserIP.py:90] [UserIP:process_response] [INFO]- 2024-07-08 09:14:48 None>None None>None>None 127.0.0.1 127.0.0.1 /PersonalInfo/Summary2/ POST
[2024-07-08 09:14:54,968] [UserIP.py:90] [UserIP:process_response] [INFO]- 2024-07-08 09:14:54 None>None None>None>None 127.0.0.1 127.0.0.1 /PersonalInfo/Summary2/ POST
[2024-07-08 09:15:05,978] [UserIP.py:90] [UserIP:process_response] [INFO]- 2024-07-08 09:15:05 None>None None>None>None 127.0.0.1 127.0.0.1 /PersonalInfo/Summary2/ POST
