[2024-08-07 13:03:02,148] [UserIP.py:90] [UserIP:process_response] [INFO]- 2024-08-07 13:03:02 C131HCD>Jenny_Li None>None>None 127.0.0.1 127.0.0.1 /admin/login/ POST
[2024-08-08 10:09:40,765] [UserIP.py:90] [UserIP:process_response] [INFO]- 2024-08-08 10:09:40 None>None None>None>None 127.0.0.1 127.0.0.1 /admin/login/ POST
[2024-08-08 13:49:13,686] [UserIP.py:90] [UserIP:process_response] [INFO]- 2024-08-08 13:49:13 C1010S3>Edwin None>None>None 127.0.0.1 127.0.0.1 /login/ POST
[2024-08-08 13:49:14,013] [UserIP.py:90] [UserIP:process_response] [INFO]- 2024-08-08 13:49:14 C1010S3>Edwin None>None>None 127.0.0.1 127.0.0.1 /Navigations_system/ POST
[2024-08-09 08:37:51,777] [UserIP.py:90] [UserIP:process_response] [INFO]- 2024-08-09 08:37:51 C1010S3>Edwin None>None>None 127.0.0.1 127.0.0.1 /login/ POST
[2024-08-09 08:37:52,082] [UserIP.py:90] [UserIP:process_response] [INFO]- 2024-08-09 08:37:52 C1010S3>Edwin None>None>None 127.0.0.1 127.0.0.1 /Navigations_system/ POST
[2024-08-09 09:04:52,752] [UserIP.py:90] [UserIP:process_response] [INFO]- 2024-08-09 09:04:52 C1010S3>Edwin None>None>None 127.0.0.1 127.0.0.1 /admin/login/ POST
[2024-08-09 09:06:28,560] [UserIP.py:90] [UserIP:process_response] [INFO]- 2024-08-09 09:06:28 Common>Common None>None>None 127.0.0.1 127.0.0.1 /login/ POST
[2024-08-09 09:06:28,859] [UserIP.py:90] [UserIP:process_response] [INFO]- 2024-08-09 09:06:28 Common>Common None>None>None 127.0.0.1 127.0.0.1 /Navigations_system/ POST
[2024-08-09 09:06:34,475] [UserIP.py:90] [UserIP:process_response] [INFO]- 2024-08-09 09:06:34 Common>Common None>None>None 127.0.0.1 127.0.0.1 /Navigations_system/ POST
[2024-08-09 09:06:47,197] [UserIP.py:90] [UserIP:process_response] [INFO]- 2024-08-09 09:06:47 Common>Common None>None>None 127.0.0.1 127.0.0.1 /Navigations_Category/ POST
[2024-08-09 09:06:48,276] [UserIP.py:90] [UserIP:process_response] [INFO]- 2024-08-09 09:06:48 Common>Common None>None>None 127.0.0.1 127.0.0.1 /Navigations_system/ POST
[2024-08-09 09:06:49,865] [UserIP.py:90] [UserIP:process_response] [INFO]- 2024-08-09 09:06:49 Common>Common None>None>None 127.0.0.1 127.0.0.1 /Navigations_system/ POST
