[2025-07-28 08:46:20,874] [UserIP.py:93] [UserIP:process_response] [INFO]- 2025-07-28 08:46:20: C1010S3/AnonymousUser/Edwin> None/None/None > 127.0.0.1/127.0.0.1 > <AsgiRequest: POST '/CommonFiles/CommonFiles_edit/'>
[2025-07-28 08:49:12,288] [UserIP.py:93] [UserIP:process_response] [INFO]- 2025-07-28 08:49:12: C1010S3/AnonymousUser/Edwin> None/None/None > 127.0.0.1/127.0.0.1 > <AsgiRequest: GET '/CommonFiles/CommonFiles_edit/'>
[2025-07-28 08:49:12,352] [UserIP.py:93] [UserIP:process_response] [INFO]- 2025-07-28 08:49:12: C1010S3/AnonymousUser/Edwin> None/None/None > 127.0.0.1/127.0.0.1 > <AsgiRequest: GET '/.well-known/appspecific/com.chrome.devtools.json'>
[2025-07-28 08:49:12,848] [UserIP.py:93] [UserIP:process_response] [INFO]- 2025-07-28 08:49:12: C1010S3/AnonymousUser/Edwin> None/None/None > 127.0.0.1/127.0.0.1 > <AsgiRequest: POST '/CommonFiles/CommonFiles_edit/'>
[2025-07-28 08:49:12,874] [UserIP.py:93] [UserIP:process_response] [INFO]- 2025-07-28 08:49:12: C1010S3/AnonymousUser/Edwin> None/None/None > 127.0.0.1/127.0.0.1 > <AsgiRequest: GET '/favicon.ico'>
[2025-07-28 08:49:12,951] [UserIP.py:93] [UserIP:process_response] [INFO]- 2025-07-28 08:49:12: C1010S3/AnonymousUser/Edwin> None/None/None > 127.0.0.1/127.0.0.1 > <AsgiRequest: GET '/media/CommonFiles/%E7%BE%8E%E5%A5%B3%E5%90%88%E9%9B%86%E5%8F%AF%E4%BB%A5%E5%8F%AB%E6%88%91%E4%B8%80%E5%A3%B0%E7%BE%8E%E5%A5%B3%E5%90%97%E8%AE%A9%E6%88%91%E4%B9%9F%E8%87%AA%E6%81%8B%E4%B8%8B%E7%BE%8E%E5%A5%B3%E7%BE%8E%E5%A5%B3%E5%90%88%E9%9B%86%E7%BE%8E%E5%A5%B3%E7%83%AD%E8%88%9E.mp4'>
[2025-07-28 08:49:32,676] [UserIP.py:93] [UserIP:process_response] [INFO]- 2025-07-28 08:49:32: C1010S3/AnonymousUser/Edwin> None/None/None > 127.0.0.1/127.0.0.1 > <AsgiRequest: POST '/CommonFiles/CommonFiles_edit/'>
[2025-07-28 08:51:58,551] [UserIP.py:93] [UserIP:process_response] [INFO]- 2025-07-28 08:51:58: C1010S3/AnonymousUser/Edwin> None/None/None > 127.0.0.1/127.0.0.1 > <AsgiRequest: GET '/CommonFiles/CommonFiles_edit/'>
[2025-07-28 08:51:58,630] [UserIP.py:93] [UserIP:process_response] [INFO]- 2025-07-28 08:51:58: C1010S3/AnonymousUser/Edwin> None/None/None > 127.0.0.1/127.0.0.1 > <AsgiRequest: GET '/.well-known/appspecific/com.chrome.devtools.json'>
[2025-07-28 08:51:59,074] [UserIP.py:93] [UserIP:process_response] [INFO]- 2025-07-28 08:51:59: C1010S3/AnonymousUser/Edwin> None/None/None > 127.0.0.1/127.0.0.1 > <AsgiRequest: POST '/CommonFiles/CommonFiles_edit/'>
[2025-07-28 08:51:59,098] [UserIP.py:93] [UserIP:process_response] [INFO]- 2025-07-28 08:51:59: C1010S3/AnonymousUser/Edwin> None/None/None > 127.0.0.1/127.0.0.1 > <AsgiRequest: GET '/favicon.ico'>
