[2026-04-29 10:27:21,980] [UserIP.py:93] [UserIP:process_response] [INFO]- 2026-04-29 10:27:21: C1010S3/AnonymousUser/Edwin> None/None/None > 127.0.0.1/127.0.0.1 > <AsgiRequest: GET '/.well-known/appspecific/com.chrome.devtools.json'>
[2026-04-29 10:27:31,147] [UserIP.py:93] [UserIP:process_response] [INFO]- 2026-04-29 10:27:31: C1010S3/AnonymousUser/Edwin> None/None/None > 127.0.0.1/127.0.0.1 > <AsgiRequest: GET '/UElist/UEItems_edit/'>
[2026-04-29 10:27:31,228] [UserIP.py:93] [UserIP:process_response] [INFO]- 2026-04-29 10:27:31: C1010S3/AnonymousUser/Edwin> None/None/None > 127.0.0.1/127.0.0.1 > <AsgiRequest: GET '/.well-known/appspecific/com.chrome.devtools.json'>
[2026-04-29 10:27:31,531] [UserIP.py:93] [UserIP:process_response] [INFO]- 2026-04-29 10:27:31: C1010S3/AnonymousUser/Edwin> None/None/None > 127.0.0.1/127.0.0.1 > <AsgiRequest: POST '/UElist/UEItems_edit/'>
[2026-04-29 10:27:31,589] [UserIP.py:93] [UserIP:process_response] [INFO]- 2026-04-29 10:27:31: C1010S3/AnonymousUser/Edwin> None/None/None > 127.0.0.1/127.0.0.1 > <AsgiRequest: POST '/UElist/UEItems_edit/'>
[2026-04-29 10:27:31,643] [UserIP.py:93] [UserIP:process_response] [INFO]- 2026-04-29 10:27:31: C1010S3/AnonymousUser/Edwin> None/None/None > 127.0.0.1/127.0.0.1 > <AsgiRequest: GET '/favicon.ico'>
[2026-04-29 14:18:34,926] [UserIP.py:93] [UserIP:process_response] [INFO]- 2026-04-29 14:18:34: C1010S3/AnonymousUser/Edwin> None/None/None > 127.0.0.1/127.0.0.1 > <AsgiRequest: GET '/'>
[2026-04-29 14:18:35,596] [UserIP.py:93] [UserIP:process_response] [INFO]- 2026-04-29 14:18:35: C1010S3/AnonymousUser/Edwin> None/None/None > 127.0.0.1/127.0.0.1 > <AsgiRequest: POST '/PermInfo/'>
[2026-04-29 14:18:35,687] [UserIP.py:93] [UserIP:process_response] [INFO]- 2026-04-29 14:18:35: C1010S3/AnonymousUser/Edwin> None/None/None > 127.0.0.1/127.0.0.1 > <AsgiRequest: GET '/favicon.ico'>
[2026-04-29 14:25:12,447] [UserIP.py:93] [UserIP:process_response] [INFO]- 2026-04-29 14:25:12: C1010S3/AnonymousUser/Edwin> None/None/None > 127.0.0.1/127.0.0.1 > <AsgiRequest: GET '/Navigations/'>
[2026-04-29 14:25:12,685] [UserIP.py:93] [UserIP:process_response] [INFO]- 2026-04-29 14:25:12: C1010S3/AnonymousUser/Edwin> None/None/None > 127.0.0.1/127.0.0.1 > <AsgiRequest: GET '/favicon.ico'>
[2026-04-29 14:25:13,569] [UserIP.py:93] [UserIP:process_response] [INFO]- 2026-04-29 14:25:13: C1010S3/AnonymousUser/Edwin> None/None/None > 127.0.0.1/127.0.0.1 > <AsgiRequest: GET '/Navigations_Category/Project/'>
[2026-04-29 14:25:13,618] [UserIP.py:93] [UserIP:process_response] [INFO]- 2026-04-29 14:25:13: C1010S3/AnonymousUser/Edwin> None/None/None > 127.0.0.1/127.0.0.1 > <AsgiRequest: GET '/Navigations_Category/Project/'>
[2026-04-29 14:25:13,715] [UserIP.py:93] [UserIP:process_response] [INFO]- 2026-04-29 14:25:13: C1010S3/AnonymousUser/Edwin> None/None/None > 127.0.0.1/127.0.0.1 > <AsgiRequest: POST '/Navigations_Category/'>
